"#","PLAYER","RATING","ERROR","POINTS","PLAYED","(%)"
1,"stash-18.0",2267.4,3.5,24043.50,35074,68.55
2,"v2.8",2263.6,9.4,2124.00,3690,57.56
3,"v2.7",2252.4,7.8,2067.50,3690,56.03
4,"v2.6c",2251.2,8.6,2061.50,3690,55.87
5,"v2.5",2198.1,8.5,1790.50,3690,48.52
6,"v2.5b",2195.6,7.3,1778.00,3690,48.18
7,"dorpsgek",2150.0,"-",18682.50,35036,53.32
8,"v2.4",2124.7,7.6,1422.00,3690,38.54
9,"v1.1",2119.6,8.9,1397.50,3690,37.87
10,"v1.0",2109.9,8.6,1351.00,3690,36.61
11,"v0.9",2107.6,7.9,1340.00,3690,36.31
12,"v2.3",2104.1,8.9,1323.50,3690,35.87
13,"v0.4b",2092.0,8.2,1267.00,3690,34.34
14,"v0.6",2089.8,8.3,1257.00,3690,34.07
15,"0.4b",2086.5,9.3,1241.50,3690,33.64
16,"v0.8",2083.1,8.2,1226.00,3690,33.22
17,"v2.2",2073.0,8.6,1180.50,3690,31.99
18,"v2.1",2070.3,9.5,1168.50,3690,31.67
19,"v0.5",2067.3,8.7,1155.00,3690,31.30
20,"v0.7",2063.3,7.8,1137.50,3690,30.83
21,"ccc-blitz-oct-2022",2053.6,9.8,1095.50,3690,29.69
